Entity	Entity Type	Entity Subtype	Geometric Rendering	Code	Remarks	
	Mine Warfare Unmanned Underwater Vehicle Sea Surface Station		Point2	216700		
	Remote Multi-Mission Vehicle Mine Warfare Unmanned Underwater Sea Surface Station		Point2	216800		
	Surface Warfare Mine Warfare Unmanned Underwater Vehicle Sea Surface Station		Point2	216900		
	Shore Control Station		Point2	217000		
	General Route		Point2	217100		
	Diversion Route		Point2	217200		
	Position and Intended Movement (PIM) Route		Point2	217300		
	Picket Route		Point2	217400		
	Point R Route		Point2	217500		
	Rendezvous Route		Point2	217600		
	Waypoint Route		Point2	217700		
	Clutter, Stationary or Cease Reporting		Point2	217800		
	Tentative or Provisional Track		Point2	217900		
	Distressed Vessel		Point7	218000		
	Ditched Aircraft/Downed Aircraft		Point7	218100		
	Person in Water/Bailout		Point7	218200		
	Iceberg		Point2	218300		
	Navigational		Line4	218400		
	Oil Rig		Point2	218500		
	Sea Mine–Like		Point2	218600		
	Bottom Return/Non-Mine, Mine-Like Bottom Object (NOMBO)		Point7	218700		
	Bottom Return/Non-Mine, Mine-Like Bottom Object (NOMBO)/Installation Manmade		Point7	218800		
		Marine Life	Point15	218900		
		Sea Anomaly (Wake, Current, Knuckle)	Point2	219000		
		Bottom Return/Non-MILCO, Wreck, Dangerous	Point2	219100		
		Bottom Return/Non-MILCO, Wreck, Non Dangerous	Point2	219200		
Maritime Control Lines				220000		
	Bearing Line		Line5	220100		
		Electronic	Line5	220101		
		Electronic Warfare (EW)	Line5	220102		
		Acoustic	Line5	220103		
		Acoustic (Ambiguous)	Line5	220104		
		Torpedo	Line5	220105		
		Electro-Optical Intercept	Line5	220106		
		Jammer	Line5	220107		
		Radio Direction Finder (RDF)	Line5	220108		
{reserved for future use}				230000		
Fires Areas				240000		
	Airspace Coordination Area			240100		
		Irregular	Area1	240101		
		Rectangular	Rectangular1	240102		
		Circular	Circular1	240103		
	Free Fire Area			240200		
		Irregular	Area1	240201		
		Rectangular	Rectangular1	240202		
		Circular	Circular1	240203		
	No Fire Area			240300		
		Irregular	Area1	240301		
		Rectangular	Rectangular1	240302		
		Circular	Circular1	240303		
	Restricted Fire Area			240400		
		Irregular	Area1	240401		
		Rectangular	Rectangular1	240402		
		Circular	Circular1	240403		
	Position Area For Artillery (PAA)			240500		
		Rectangular	Rectangular1	240501		
		Circular	Circular1	240502		
		Irregular	Area1	240503		
	Point Targets			240600		
		Point or Single Target	Point2	240601		
		Nuclear Target	Point2	240602		
		Target-Recorded	Point11	240603		
	Linear Targets			240700		
		Linear Target	Line5	240701		
		Linear Smoke Target	Line5	240702		
		Final Protective Fire (FPF)	Line5	240703		
	Area Targets			240800		
		Area Target	Area1	240801		
		Rectangular Target	Rectangular2	240802		
		Circular Target	Circular1	240803		
		Rectangular Target – Single Target	Rectangular3	240804		
		Series or Groups of Targets	Area9	240805		
		Smoke 	Area1	240806		
		{reserved for future use}		240807		
		Bomb Area	Area1	240808		
	Fire Support Station		Point2	240900		
	Fire Support Area			241000		
		Irregular	Area1	241001		
		Rectangular	Rectangular1	241002		
		Circular	Circular1	241003		
	Artillery Target Intelligence Zone			241100		
		Irregular	Area10	241101		
		Rectangular	Rectangular1	241102		
		Circular	Circular1	241103		
	Call for Fire Area			241200		
		Irregular	Area10	241201		
		Rectangular	Rectangular1	241202		
		Circular	Circular1	241203		
	Censor Zone			241300		
		Irregular	Area10	241301		
		Rectangular	Rectangular1	241302		
		Circular	Circular1	241303		
	Critical Friendly Zone			241400		
		Irregular	Area10	241401		
		Rectangular	Rectangular1	241402		
		Circular	Circular1	241403		
	Dead Space Area			241500		
		Irregular	Area10	241501		
		Rectangular	Rectangular1	241502		
		Circular	Circular1	241503		
	Sensor Zone			241600		
		Irregular	Area10	241601		
		Rectangular	Rectangular1	241602		
		Circular	Circular1	241603		
	Target Build–up Area			241700		
		Irregular	Area10	241701		
		Rectangular	Rectangular1	241702		
		Circular	Circular1	241703		
	Target Value Area			241800		
		Irregular	Area10	241801		
		Rectangular	Rectangular1	241802		
		Circular	Circular1	241803		
	Zone of Responsibility			241900		
		Irregular	Area10	241901		
		Rectangular	Rectangular1	241902		
		Circular	Circular1	241903		
	Terminally Guided Munition Footprint (TGMF)		Area10	242000		
	Weapon/Sensor Range fan, Circular		Circular1	242100		
	Weapon/Sensor Range fan, Sector		Arc1	242200		
	Kill Box			242300		
		Irregular, Blue	Area10	242301		
		Rectangular, Blue	Rectangular1	242302		
		Circular, Blue	Circular1	242303		
		Irregular, Purple	Area10	242304		
		Rectangular, Purple	Rectangular1	242305		
		Circular, Purple	Circular1	242306		
Fires Points				250000		
	Firing Point		Point1	250100		
	Hide Point		Point1	250200		
	Launch Point		Point1	250300		
	Reload Point		Point1	250400		
	Survey Control Point		Point1	250500		
	Known Point		Point2	250600		
Fire Lines				260000		
	Fire Support Coordination Line (FSCL)		Line2	260100		
	Coordinated Fire Line (CFL)		Line7	260200		
	No Fire Line		Line2	260300		
	Battlefield Coordination Line		Line2	260400		
	Restrictive Fire Line		Line2	260500		
	Munition Flight Path		Line8	260600		
Protection Areas				270000		
	Obstacle Belt		Area1	270100		
	Obstacle Zone		Area1	270200		
	Obstacle Free Zone		Area1	270300		
	Obstacle Restricted Zone		Area1	270400		
	Obstacle Effects			270500		
		Block	Area11	270501		
		Disrupt	Area12	270502		
		Fix	Line9	270503		
		Turn	Line10	270504		
	Obstacle Bypass			270600		
		Easy	Point12	270601		
		Difficult	Point12	270602		
		Impossible	Point12	270603		
	Minefields			270700		
		Static Depiction	Point2	270701		
		Dynamic Depiction	Area23	270707		
	Mined Area		Area1	270800		
		Fenced	Area1	270801		
	Unexploded Explosive Ordnance (UXO) Area		Area1	271000		
	Bridge or Gap		Line11	271100		
	Roadblocks, Craters and Blown Bridges			271200		
		Planned	Line12	271201		
		Explosives, State of Readiness 1 (Safe)	Line12	271202		
		Explosives, State of Readiness 2 (armed but passable)	Line12	271203		
		Roadblock Complete (Executed)	Line12	271204		
	Assault Crossing		Line16	271300		
	{Reserved for future use}			271400		
	Ford Easy		Line17	271500		
	Ford Difficult		Line17	271600		
	Biological Contaminated Area		Area1	271700		
	Chemical Contaminated Area		Area1	271800		
	Nuclear Contaminated Area		Area1	271900		
	Radiological Contaminated Area		Area1	272000		
	Minimum Safe Distance Zone		Area14	272100		
	Multiple Strikes – STRIKWARN		Area26	272101		
	Radiation Dose Rate Contour Lines		Area1	272200		
Protection Points				280000		
	Abatis		Line13	280100		
	Antipersonnel Mine		Point2	280200		
		Antipersonnel Mine with Directional Effects	Point2	280201		
	Antitank Mine		Point2	280300		
	Antitank Mine with Anti-handling Device		Point2	280400		
	Wide Area Antitank Mine		Point2	280500		
	Unspecified Mine		Point2	280600		
	Booby Trap		Point13	280700		
	Engineer Regulating Point		Point1	280800		
	Shelter		Point2	280900		
	Shelter Above Ground		Point2	281000		
	Below Ground Shelter		Point2	281100		
	Fort		Point2	281200		
	Chemical Event		Point7	281300		
	Biological Event		Point7	281400		
	Nuclear Event		Point7	281500		
	Nuclear Fallout Producing Event		Point7	281600		
	Radiological Event		Point7	281700		
	General Decontamination Point/Site		Point1	281800		
		Alternate	Point1	281801		
		Equipment	Point1	281802		
		Troop	Point1	281803		
		Equipment/Troop	Point1	281804		
		Operational	Point1	281805		
		Thorough	Point1	281806		
		Main Equipment	Point1	281807		
		Forward Troop	Point1	281808		
		Wounded Personnel	Point1	281809		
	Tetrahedrons, Dragons Teeth, and Other Similar Obstacles			281900		
		Fixed and Prefabricated	Point7	281901		
		Movable	Point7	281902		
		Movable and Prefabricated	Point7	281903		
	Vertical Obstructions			282000		
		Tower, Low	Point16	282001		
		Tower, High	Point16	282002		
		Overhead Wire	Line1	282003		
Protection Lines				290000		
	Obstacle Line		Line1	290100		
		Mineline	Line1	290101		
	Antitank Obstacles			290200		
		Under Construction	Line1	290201		
		Completed	Line1	290202		
		Reinforced, with Antitank Mines	Line1	290203		
		Antitank Wall	Line1	290204		
	Wire Obstacles			290300		
		Unspecified Wire	Line1	290301		
		Single Fence Wire	Line1	290302		
		Double Fence Wire	Line1	290303		
		Double Apron Fence	Line1	290304		
		Low Wire Fence	Line1	290305		
		High Wire Fence	Line1	290306		
		Single Concertina	Line1	290307		
		Double Strand Concertina	Line1	290308		
		Triple Strand Concertina	Line1	290309		
	Mine Cluster		Area13	290400		
	Trip Wire		Line15	290500		
	Lane		Line14	290600		
	Ferry		Line18	290700		
	Raft Site		Line14	290800		
	Fortified Line		Line1	290900		
	Fighting Position		Line19	291000		
Intelligence Lines				300000		
	Intelligence Coordination Line		Line2	300100		
Sustainment Areas				310000		
	Detainee Holding Area		Area1	310100		
	Enemy Prisoner or War Holding Area		Area1	310200		
	Forward Arming and Refueling Point		Area1	310300		
	Refugee Holding Area		Area1	310400		
	Regimental Support Area		Area1	310500		
	Brigade Support Area		Area1	310600		
	Division Support Area		Area1	310700		
Sustainment Points				320000		
	Ambulance Points		Point	320100		
		Ambulance Exchange Point	Point1	320101		
		Ambulance Control Point	Point1	320102		
		Ambulance Load Point	Point1	320103		
		Ambulance Relay Point	Point1	320104		
	Ammunition Supply Point		Point1	320200		
	Ammunition Transfer and Holding Point1		Point	320300		
	Cannibalization Point		Point1	320400		
	Casualty Collection Point		Point1	320500		
	Civilian Collection Point		Point1	320600		
	Detainee Collection Point		Point1	320700		
	Enemy Prisoner of War Collection Point		Point1	320800		
	Logistics Release Point		Point1	320900		
	Maintenance Collection Point (MCP)		Point1	321000		
	Medical Evacuation Point (MEDEVAC) Pick-Up Point		Point1	321100		
	Rearm, Refuel and Resupply Point (R3P)		Point1	321200		
	Refuel on the Move (ROM) Point		Point1	321300		
	Traffic Control Post (TCP)		Point1	321400		
	Trailer Transfer Point (TTP)		Point1	321500		
	Unit Maintenance Collection Point (UNCP)		Point1	321600		
	General Supply Point		Point1	321700		
